"id","name","image_url"
1,マイコン関連,
2,電子工作便利商品,
3,パーツ一般,
4,半導体(モジュール),
5,組立キット(モジュール),
6,センサ一般,
7,電源一般,
8,ディスプレイ･表示器,
9,LED(発光ダイオード),
